queueId,teamColor,matchId,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
5V5 RANKED SOLO GAMES,Red,3925887908,0,0,0,9775,12,4,TwistedFate,0,4,1830.0,1830,1830,6523,7,3,0,0,False,False,False,False,False,True,8084,6350,MIDDLE,0,0.0,Everfrost,Corrupting Potion,Control Ward,Dark Seal,Ionian Boots of Lucidity,Aether Wisp,Stealth Ward,13,0,2,MIDDLE,0,0,1,581,78420,8276,8260,0,0,0.0,0,0,8,0,9484,1500,7563,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SOLO,0,73,124,10,8,3,,6,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,74,stayawayz,False,200,MIDDLE,21,1347,90408,10749,0,16011,2186,0,165,131,200,1,0,2503,972,188,1,4.0,0,13,5,1,9,False
5V5 RANKED SOLO GAMES,Blue,3925644230,6,0,7,15148,16,4,TwistedFate,0,2,7282.0,14057,7282,4756,0,1,1,0,False,False,True,False,False,True,14059,12525,MIDDLE,1,0.0,Everfrost,Rapid Firecannon,Perfectly Timed Stopwatch,Ionian Boots of Lucidity,Lich Bane,Mejai's Soulstealer,Farsight Alteration,13,1,7,MIDDLE,0,7,2,0,145430,12014,617,4,0,0.0,0,0,3,0,15954,1121,7570,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SOLO,0,96,197,8,16,2,,6,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,74,stayawayz,False,100,MIDDLE,23,1471,167633,13566,0,8187,1815,0,241,164,0,1,0,6248,430,0,3,2.0,0,15,1,2,8,True
5V5 RANKED SOLO GAMES,Red,3924341564,5,0,0,9477,12,99,Lux,0,4,805.0,1350,805,4880,3,2,0,0,False,True,False,False,False,False,7610,7355,MIDDLE,0,1.0,Doran's Ring,Luden's Tempest,Sorcerer's Shoes,Refillable Potion,Needlessly Large Rod,Oblivion Orb,Farsight Alteration,15,1,2,MIDDLE,0,2,1,400,72972,10974,4198,0,0,1.0,0,0,9,0,8948,717,4142,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SOLO,0,40,11,134,6,3,,1,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,74,stayawayz,False,200,MIDDLE,24,1274,89596,11691,765,8743,0,0,156,368,81,0,0,7675,0,402,0,9.0,0,12,2,0,7,False
5V5 RANKED SOLO GAMES,Red,3924255711,4,0,1,7483,11,4,TwistedFate,0,1,886.0,886,886,1503,0,1,0,0,True,False,False,False,False,True,6399,6060,MIDDLE,0,0.0,Everfrost,Corrupting Potion,Broken Stopwatch,Ionian Boots of Lucidity,Amplifying Tome,Sheen,Stealth Ward,11,0,1,NONE,0,0,1,0,56024,3354,790,0,0,0.0,0,0,8,0,7860,764,3473,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SUPPORT,0,49,95,0,6,3,,3,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,73,stayawayz,False,200,MIDDLE,8,913,69413,4268,0,4670,946,0,129,104,0,1,0,5527,150,407,0,0.0,0,10,1,1,5,True
5V5 RANKED SOLO GAMES,Red,3924186135,10,0,0,17447,17,92,Riven,0,6,930.0,2709,930,27658,4,3,1,0,False,False,True,False,False,False,15189,14525,MIDDLE,0,1.0,Goredrinker,Ionian Boots of Lucidity,Broken Stopwatch,Ravenous Hydra,Thornmail,Black Cleaver,Stealth Ward,24,1,7,MIDDLE,10,5,2,1054,322,208,10671,22,0,1.0,0,0,8,0,181280,18384,14469,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SOLO,0,432,81,150,18,4,,8,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,73,stayawayz,False,200,MIDDLE,37,1839,183144,20135,0,25713,6284,0,254,133,67,1,0,1542,1542,571,0,7.0,0,27,3,3,10,False
5V5 RANKED SOLO GAMES,Red,3921974618,1,0,0,7351,11,126,Jayce,0,4,524.0,524,524,3991,4,1,0,0,False,False,False,False,False,True,5248,3775,MIDDLE,0,0.0,Refillable Potion,Plated Steelcaps,Serrated Dirk,Long Sword,Doran's Blade,Tear of the Goddess,Stealth Ward,11,0,0,NONE,0,0,0,390,7296,1079,2315,0,0,0.0,0,0,8,0,50370,7267,5623,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,DUO,0,52,39,30,62,2,,2,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,73,stayawayz,False,200,MIDDLE,3,943,57666,8346,0,8023,572,0,140,63,94,1,0,0,0,84,0,2.0,0,10,1,1,6,False
5V5 RANKED SOLO GAMES,Red,3921929380,1,0,0,8846,12,517,Sylas,0,2,447.0,447,447,13459,9,2,0,0,False,False,False,False,False,False,7171,7100,MIDDLE,0,1.0,Everfrost,Refillable Potion,Ionian Boots of Lucidity,Dark Seal,Fiendish Codex,Kindlegem,Stealth Ward,15,0,2,MIDDLE,0,0,1,463,64810,10792,11592,4,0,1.0,0,0,8,0,5509,246,16207,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SOLO,0,53,47,85,18,4,,2,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,73,stayawayz,False,200,MIDDLE,15,1540,70687,11039,0,29659,5877,297,133,335,237,3,0,368,0,1858,0,7.0,0,22,2,3,10,False
5V5 RANKED SOLO GAMES,Red,3921824887,11,0,1,13911,15,10,Kayle,0,4,3840.0,10568,3840,7249,3,3,1,0,False,False,False,False,False,False,11569,9575,MIDDLE,0,0.0,Nashor's Tooth,Riftmaker,Berserker's Greaves,Aether Wisp,Doran's Shield,Sheen,Stealth Ward,16,1,5,MIDDLE,0,2,2,733,70569,9197,4390,4,0,0.0,0,0,8,0,38037,3114,10135,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SOLO,0,42,34,64,6,4,,2,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,73,stayawayz,False,200,MIDDLE,7,1534,116340,13073,0,14780,5807,1892,213,246,106,4,0,7733,761,254,2,0.0,0,25,3,4,11,True
5V5 RANKED SOLO GAMES,Red,3921759565,3,0,0,10440,13,10,Kayle,0,5,232.0,232,232,5773,3,2,0,0,False,False,False,False,False,False,7125,6350,MIDDLE,0,1.0,Doran's Shield,Nashor's Tooth,Boots,Refillable Potion,Leeching Leer,Blasting Wand,Stealth Ward,14,0,0,MIDDLE,0,0,0,471,57616,7808,2750,10,0,1.0,0,0,8,0,29294,3064,9711,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SOLO,0,38,33,57,6,2,,2,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,73,stayawayz,False,200,MIDDLE,5,1308,86910,10873,0,13962,3510,623,157,180,56,5,0,0,0,1500,0,8.0,0,16,2,2,6,False
5V5 RANKED SOLO GAMES,Red,3921741672,13,0,0,10243,13,235,Senna,0,6,4572.0,9140,4572,6835,3,4,0,0,True,False,False,True,False,False,9864,8250,UTILITY,0,0.0,Black Mist Scythe,Kraken Slayer,Kircheis Shard,Boots of Swiftness,Guinsoo's Rageblade,,Oracle Lens,17,2,6,BOTTOM,199,3,1,541,877,236,8072,0,0,0.0,0,0,9,0,73314,18432,7721,22,G9t8kiK54CVf26AdzUf7vvUuI5__aeSxYe_JfqeNooTpvOnOzPa2wB7hrgJEqLzA4zlb_vxpSmUB2Q,0,,,SUPPORT,0,81,30,17,4,4,,5,,cGcf2cM3ptnT28jjsZ9aP8QUMDt3R0TjsAaAyraaxYfkmdmq9h4sU7Nrcg,73,stayawayz,False,200,UTILITY,48,1581,78840,20737,647,16075,13705,6589,52,252,78,5,0,4647,2068,281,2,1.0,0,38,4,8,18,True
