queueId,teamColor,matchId,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
5V5 RANKED SOLO GAMES,Blue,3935327737,12,0,0,8845,12,89,Leona,0,15,211,211,211,14637,3,9,0,0,False,False,False,False,False,False,6782,6125,UTILITY,0,0,Boots of Swiftness,Locket of the Iron Solari,Pauldrons of Whiterock,Control Ward,Warden's Mail,Ruby Crystal,Oracle Lens,32,0,1,BOTTOM,0,0,1,601,3529,2229,5973,0,0,0,0,0,5,0,5919,2443,6780,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,41,24,22,11,15,,6,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,100,UTILITY,36,1572,15609,5597,702,13866,2308,462,35,56,63,5,0,6161,924,1112,0,3,0,64,11,9,30,True
5V5 RANKED SOLO GAMES,Blue,3935302314,6,0,1,4620,8,526,Rell,0,8,0,1737,0,8500,4,3,0,0,False,False,False,False,False,True,4841,4675,UTILITY,0,0,Ionian Boots of Lucidity,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Cloth Armor,,Oracle Lens,20,0,1,NONE,0,0,1,426,3986,2969,3780,0,0,0,0,0,5,0,2848,784,3828,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,33,20,25,2,4,,3,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,100,UTILITY,18,1123,13545,3977,0,7800,425,265,31,27,95,3,0,6710,224,192,0,2,0,32,5,8,15,False
5V5 RANKED SOLO GAMES,Red,3935178409,12,0,0,6170,10,89,Leona,0,8,0,0,0,4848,3,4,0,0,False,False,False,False,False,True,5209,4600,UTILITY,0,0,Refillable Potion,Locket of the Iron Solari,Runesteel Spaulders,Control Ward,Mobility Boots,,Oracle Lens,18,0,1,NONE,0,0,1,223,2403,1555,2761,0,0,0,0,0,10,0,3868,1359,3573,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,29,15,15,4,8,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,200,UTILITY,21,1079,12383,3247,240,6986,507,239,30,29,34,3,0,6112,332,650,0,1,0,34,6,8,11,True
5V5 RANKED SOLO GAMES,Red,3935180942,9,0,1,6189,10,526,Rell,0,9,0,162,0,8939,2,6,0,0,False,False,False,False,False,True,5339,4450,UTILITY,0,0,Ionian Boots of Lucidity,Locket of the Iron Solari,Targon's Buckler,,,,Oracle Lens,19,0,2,BOTTOM,0,0,1,933,5482,3312,1833,0,0,0,0,0,10,0,3431,474,5770,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,41,28,22,5,8,,3,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,200,UTILITY,17,1208,14142,4200,276,8197,876,335,31,43,58,3,0,5228,414,592,0,1,0,44,6,9,19,True
5V5 RANKED SOLO GAMES,Red,3934078006,19,0,3,9651,12,526,Rell,0,10,830,1537,830,18965,4,7,1,0,True,False,False,False,False,False,8154,7460,UTILITY,0,0,Randuin's Omen,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Ionian Boots of Lucidity,,Oracle Lens,26,1,4,BOTTOM,0,3,2,383,11934,5879,2491,0,0,0,0,0,10,0,4072,805,8686,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,68,32,37,8,12,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,200,UTILITY,34,1388,22164,7282,804,11715,2502,857,33,59,61,4,0,6156,598,537,0,1,0,52,8,9,25,True
5V5 RANKED SOLO GAMES,Red,3934064183,8,0,0,4862,8,526,Rell,0,7,0,147,0,6838,1,3,0,0,False,False,False,False,False,True,4814,4475,UTILITY,0,0,Refillable Potion,Locket of the Iron Solari,Targon's Buckler,Control Ward,Ionian Boots of Lucidity,,Oracle Lens,18,1,3,NONE,0,3,1,858,5139,2453,1754,0,0,0,0,0,10,0,3600,739,3828,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,31,29,23,4,6,,3,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,200,UTILITY,17,915,13817,3649,0,5610,242,65,23,40,27,3,0,5078,456,28,0,0,0,29,5,4,11,True
5V5 RANKED SOLO GAMES,Red,3934011246,9,0,0,9050,12,111,Nautilus,0,13,0,0,0,15693,4,9,0,0,False,False,False,False,False,False,6111,5975,UTILITY,0,2,Boots of Swiftness,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Kindlegem,Cloth Armor,Oracle Lens,28,0,1,BOTTOM,0,0,1,593,8513,3628,2578,0,0,1,0,0,10,0,6996,1214,9231,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,51,23,25,9,17,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,200,UTILITY,33,1519,22952,5284,405,12941,808,0,38,196,74,1,0,7443,441,1130,0,10,0,59,11,5,31,False
5V5 RANKED SOLO GAMES,Blue,3934000981,22,0,1,12989,14,526,Rell,0,19,58,294,58,42863,6,12,0,0,False,False,False,False,False,False,10901,10375,UTILITY,0,3,Thornmail,Locket of the Iron Solari,Bulwark of the Mountain,Vigilant Wardstone,Ionian Boots of Lucidity,Giant's Belt,Oracle Lens,38,1,6,BOTTOM,25,3,1,698,16593,10367,6994,0,0,1,0,0,5,0,3362,960,14269,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,95,43,72,10,12,,7,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,100,UTILITY,50,2114,25791,12167,1541,22389,3521,1168,32,91,136,5,0,5835,840,1125,0,11,0,84,12,9,49,False
5V5 RANKED SOLO GAMES,Red,3933059336,15,0,0,8164,11,143,Zyra,0,6,1883,1883,1883,2583,2,3,0,0,False,False,False,False,False,False,8727,8300,UTILITY,0,0,Dark Seal,Liandry's Anguish,Shard of True Ice,Control Ward,Sorcerer's Shoes,Morellonomicon,Oracle Lens,20,1,6,NONE,0,5,1,799,38407,16100,5223,4,1,0,0,0,10,0,3609,994,2389,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,64,64,32,8,3,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,200,UTILITY,41,1195,42418,17497,0,7642,1524,0,31,173,43,1,0,402,402,28,0,1,0,45,4,7,15,True
5V5 RANKED SOLO GAMES,Red,3933094825,17,0,3,10032,13,526,Rell,0,10,255,1722,255,24681,5,7,0,0,True,False,False,False,False,True,9579,8050,UTILITY,0,0,Ionian Boots of Lucidity,Locket of the Iron Solari,Targon's Buckler,,Kindlegem,Thornmail,Oracle Lens,25,1,5,BOTTOM,2,3,1,255,11585,6017,5581,0,0,0,0,1,10,0,5988,1690,8939,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SOLO,0,78,43,33,7,9,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,271,From Iron,False,200,UTILITY,33,1412,23303,8361,584,14839,2802,423,35,71,89,3,0,5728,654,319,0,3,0,45,8,5,22,True
