queueId,teamColor,matchId,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
5V5 RANKED SOLO GAMES,Blue,3944288481,13,0,0,8243,11,223,TahmKench,0,7,488,1419,488,17878,6,3,0,0,False,False,False,False,False,True,7039,6425,BOTTOM,0,0,Doran's Shield,Sunfire Aegis,Plated Steelcaps,Kindlegem,Ruby Crystal,,Stealth Ward,18,0,1,BOTTOM,0,0,1,312,20774,4743,6487,0,0,0,0,0,5,0,10610,731,9696,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,CARRY,0,71,4,11,2,3,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,100,BOTTOM,14,1284,31384,5475,1105,16532,2087,0,98,105,140,1,0,0,0,349,0,0,0,16,3,4,9,True
5V5 RANKED SOLO GAMES,Blue,3944251280,11,0,0,6578,10,111,Nautilus,0,10,0,174,0,16060,5,7,0,0,False,False,False,False,False,False,6099,6000,UTILITY,0,1,Plated Steelcaps,Locket of the Iron Solari,Bulwark of the Mountain,Cloth Armor,Warden's Mail,Control Ward,Oracle Lens,28,1,2,BOTTOM,0,2,1,407,10589,4457,4313,0,0,1,0,0,5,0,5748,1951,6472,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,50,17,21,9,13,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,100,UTILITY,46,1347,21927,7026,671,11566,62,0,43,246,98,1,0,5589,616,779,0,9,0,53,8,6,31,False
5V5 RANKED SOLO GAMES,Red,3944226110,0,0,0,4583,8,202,Jhin,0,6,0,0,0,3309,5,2,0,0,False,False,False,False,False,True,4305,3100,BOTTOM,0,0,Serrated Dirk,Refillable Potion,Boots,Vampiric Scepter,,Long Sword,Stealth Ward,16,0,1,NONE,358,0,1,281,148,0,1678,0,0,0,0,0,9,0,34032,3541,6081,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,36,17,3,10,2,,3,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,200,BOTTOM,3,912,34180,3541,0,8214,1718,216,99,7,75,3,0,0,0,454,0,3,0,18,2,3,10,False
5V5 RANKED SOLO GAMES,Red,3941904096,20,0,0,10417,13,111,Nautilus,0,11,320,999,320,30781,7,8,0,0,False,False,False,False,False,False,7821,6575,UTILITY,0,0,Plated Steelcaps,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Kindlegem,Warden's Mail,Oracle Lens,27,0,0,BOTTOM,0,0,0,690,8449,5522,8327,0,0,0,0,0,10,0,7874,1919,10809,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,71,46,24,9,5,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,200,UTILITY,60,1841,21192,8025,1644,19624,1203,0,40,190,212,1,0,4868,584,487,0,1,0,64,9,8,35,True
5V5 RANKED SOLO GAMES,Red,3941845033,18,0,1,8840,12,111,Nautilus,0,10,796,796,796,15092,4,6,0,0,False,False,False,False,False,False,7579,6050,UTILITY,0,0,Ruby Crystal,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Bramble Vest,Plated Steelcaps,Oracle Lens,25,0,2,BOTTOM,0,0,1,538,8924,6108,3112,0,0,0,0,0,10,0,7045,2408,7007,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SOLO,0,60,32,27,6,4,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,200,UTILITY,59,1383,22463,9136,541,10449,19,0,32,191,94,1,0,6494,619,329,0,1,0,52,8,6,21,True
5V5 RANKED SOLO GAMES,Blue,3941054972,10,0,2,11015,13,202,Jhin,0,5,4720,8572,4720,6290,3,1,0,0,False,False,False,False,False,False,9406,8050,BOTTOM,0,0,Refillable Potion,Galeforce,The Collector,Control Ward,Dagger,Boots of Swiftness,Farsight Alteration,20,2,7,BOTTOM,633,3,1,872,791,433,5513,0,0,0,0,0,5,0,94175,16538,8859,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SOLO,0,63,33,2,24,3,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,100,BOTTOM,12,1416,95351,16995,0,14572,4346,360,139,33,104,3,0,384,24,199,0,1,0,19,2,1,11,True
5V5 RANKED SOLO GAMES,Red,3940945001,27,0,0,13097,15,117,Lulu,0,13,1185,3334,1185,9727,5,9,0,0,False,False,True,False,False,False,10313,8450,UTILITY,0,0,Shurelya's Battlesong,Forbidden Idol,Shard of True Ice,Control Ward,Ionian Boots of Lucidity,Staff of Flowing Water,Oracle Lens,26,1,4,BOTTOM,0,4,1,1191,16410,7948,7746,0,0,0,0,0,10,0,4978,1825,6959,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,65,82,91,9,5,,7,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,200,UTILITY,54,1825,22386,9774,7125,18608,2360,0,11,333,155,1,0,997,0,3902,0,1,0,81,10,4,36,True
5V5 RANKED SOLO GAMES,Blue,3940898659,13,0,0,8637,12,111,Nautilus,0,10,567,1189,567,17945,3,6,0,0,False,True,False,False,False,True,7635,6400,UTILITY,0,0,Mercury's Treads,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Bramble Vest,Giant's Belt,Oracle Lens,21,0,3,BOTTOM,2,0,1,609,10347,6065,2019,0,0,0,0,0,5,0,6845,2459,8501,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,66,30,33,8,16,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,100,UTILITY,55,1605,25903,8991,988,11908,850,0,33,229,78,1,0,8711,466,1387,1,2,0,65,8,6,28,True
5V5 RANKED SOLO GAMES,Red,3940221616,20,0,1,6497,10,526,Rell,0,6,126,126,126,15043,3,3,0,0,False,False,False,False,False,True,6274,5200,UTILITY,0,0,Refillable Potion,Locket of the Iron Solari,Targon's Buckler,Control Ward,Ionian Boots of Lucidity,Bramble Vest,Oracle Lens,17,0,2,NONE,0,0,1,563,9741,5330,4106,0,0,0,0,0,10,0,4017,1414,6368,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,45,35,45,4,12,,2,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,274,From Iron,False,200,UTILITY,32,1124,19236,6843,28,10849,1106,403,31,92,65,3,0,5476,98,374,0,1,0,23,4,5,9,True
5V5 RANKED SOLO GAMES,Red,3940107448,13,0,0,13105,15,223,TahmKench,0,10,1441,1743,1441,36532,3,3,0,0,True,False,False,False,False,False,10048,9675,BOTTOM,0,0,Frostfire Gauntlet,Randuin's Omen,Plated Steelcaps,Control Ward,Giant's Belt,Bramble Vest,Stealth Ward,23,0,1,BOTTOM,0,0,1,848,57475,11878,11490,0,0,0,0,0,10,0,22759,1719,13844,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,CARRY,0,135,17,6,3,4,,2,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,273,From Iron,False,200,BOTTOM,40,1883,83585,13597,1508,26417,12550,1383,173,866,105,7,0,3350,0,1083,2,2,0,26,5,6,13,True
